[0.21185226 0.78814774]
[0.12802617 0.87197383]
[0.27798485 0.72201515]
[0.10503569 0.89496431]
[0.13677129 0.86322871]
[0.12484649 0.87515351]
[0.43358494 0.56641506]
[0.73783588 0.26216412]
[0.12395308 0.87604692]
[0.00895532 0.99104468]
[0.00495169 0.99504831]
[0.23555355 0.76444645]
[0.88981932 0.11018068]
[0.01811273 0.98188727]
[0.16755321 0.83244679]
[0.76656597 0.23343403]
[0.22851116 0.77148884]
[0.40462781 0.59537219]
[0.15820532 0.84179468]
[0.23539781 0.76460219]
[0.24088715 0.75911285]
[0.28792534 0.71207466]
[0.18951047 0.81048953]
[0.09878281 0.90121719]
[0.30590957 0.69409043]
[0.17668688 0.82331312]
[0.01473599 0.98526401]
[0.19325671 0.80674329]
[0.28905743 0.71094257]
[0.2296173 0.7703827]
[0.7591585 0.2408415]
[0.24748117 0.75251883]
[0.24330769 0.75669231]
[0.66944923 0.33055077]
[0.77517288 0.22482712]
[0.69188828 0.30811172]
[0.87631839 0.12368161]
[0.14957555 0.85042445]
[0.06746912 0.93253088]
[0.34998762 0.65001238]
[0.0131157 0.9868843]
[0.18884512 0.81115488]
[0.36349758 0.63650242]
[0.08617942 0.91382058]
[0.20286942 0.79713058]
[0.2822707 0.7177293]
[0.17457634 0.82542366]
[0.03326729 0.96673271]
[0.3175077 0.6824923]
[0.26378643 0.73621357]
[0.240741 0.759259]
[0.12054689 0.87945311]
[0.93037088 0.06962912]
[0.07568638 0.92431362]
[0.62874923 0.37125077]
[0.01473599 0.98526401]
[0.13852007 0.86147993]
[0.09250931 0.90749069]
[0.00849522 0.99150478]
[0.28727963 0.71272037]
[0.22161467 0.77838533]
[0.15616973 0.84383027]
[0.13958185 0.86041815]
[0.0778457 0.9221543]
[0.46464789 0.53535211]
[0.02362554 0.97637446]
[0.44010967 0.55989033]
[0.03066667 0.96933333]
[0.21857256 0.78142744]
[0.02957243 0.97042757]
[0.66595423 0.33404577]
[0.24970552 0.75029448]
[0.02529006 0.97470994]
[0.05068723 0.94931277]
[0.23494859 0.76505141]
[0.24033448 0.75966552]
[0.17280135 0.82719865]
[0.40701828 0.59298172]
[0.16788511 0.83211489]
[0.35369133 0.64630867]
[0.29597167 0.70402833]
[0.06441648 0.93558352]
[0.37047053 0.62952947]
[0.0968341 0.9031659]
[0.00792402 0.99207598]
[0.60353112 0.39646888]
[0.26098337 0.73901663]
[0.72842688 0.27157312]
[0.26783182 0.73216818]
[0.00741714 0.99258286]
[0.03349008 0.96650992]
[0.15568091 0.84431909]
[0.14900782 0.85099218]
[0.1536008 0.8463992]
[0.99894766 0.00105234]
[0.26572483 0.73427517]
[0.25519132 0.74480868]
[0.24708294 0.75291706]
[0.22814596 0.77185404]
[0.60853045 0.39146955]
[0.14517642 0.85482358]
[0.22250995 0.77749005]
[0.15454536 0.84545464]
[0.38596087 0.61403913]
[0.15410693 0.84589307]
[0.08784314 0.91215686]
[0.05496968 0.94503032]
[0.32021607 0.67978393]
[0.25873194 0.74126806]
[0.2923024 0.7076976]
[0.07986082 0.92013918]
[0.13201216 0.86798784]
[0.21239589 0.78760411]
[0.17112349 0.82887651]
[0.2940704 0.7059296]
[0.11314245 0.88685755]
[0.29287923 0.70712077]
[0.596241 0.403759]
[0.2429077 0.7570923]
[0.33981631 0.66018369]
[0.70909029 0.29090971]
[0.09716914 0.90283086]
[0.24583649 0.75416351]
[0.38237972 0.61762028]
[0.30705815 0.69294185]
[0.06370297 0.93629703]
[0.1298383 0.8701617]
[0.2432815 0.7567185]
[0.07648744 0.92351256]
[0.29566829 0.70433171]
[0.00862881 0.99137119]
[0.1159633 0.8840367]
[0.04745174 0.95254826]
[0.19969131 0.80030869]
[0.23605226 0.76394774]
[0.09800794 0.90199206]
[0.19775456 0.80224544]
[0.33459292 0.66540708]
[0.14118256 0.85881744]
[0.16129904 0.83870096]
[0.17290815 0.82709185]
[0.12639102 0.87360898]
[0.01473599 0.98526401]
[0.06695123 0.93304877]
[0.81214248 0.18785752]
[0.09870887 0.90129113]
[0.09647797 0.90352203]
[0.20635028 0.79364972]
[0.29566829 0.70433171]
[0.01662812 0.98337188]
[0.07646512 0.92353488]
[0.10513357 0.89486643]
[0.01322374 0.98677626]
[0.60522805 0.39477195]
[0.27494903 0.72505097]
[0.00152708 0.99847292]
[0.13164707 0.86835293]
[0.41480684 0.58519316]
[0.12492841 0.87507159]
[0.03608641 0.96391359]
[0.2984673 0.7015327]
[0.15004916 0.84995084]
[0.01473599 0.98526401]
[0.13706414 0.86293586]
[0.30392814 0.69607186]
[0.36540199 0.63459801]
[0.03769356 0.96230644]
[0.16129904 0.83870096]
[0.71339865 0.28660135]
[0.05586098 0.94413902]
[0.03205107 0.96794893]
[0.01224183 0.98775817]
[0.18783582 0.81216418]
[0.47197736 0.52802264]
[0.34377462 0.65622538]
[0.32427285 0.67572715]
[0.23747283 0.76252717]
[0.15135668 0.84864332]
[0.23929928 0.76070072]
[0.4381853 0.5618147]
[0.0965526 0.9034474]
[0.09590221 0.90409779]
[0.10558329 0.89441671]
[0.39273796 0.60726204]
[0.00497894 0.99502106]
[0.95478727 0.04521273]
[0.30461159 0.69538841]
[0.24693083 0.75306917]
[0.21903001 0.78096999]
[0.08547415 0.91452585]
[0.59325805 0.40674195]
[0.01215174 0.98784826]
[0.35151764 0.64848236]
[0.19024056 0.80975944]
[0.09557542 0.90442458]
[0.11802265 0.88197735]
[0.12250446 0.87749554]
[0.75958514 0.24041486]
[0.16944248 0.83055752]
[0.17758672 0.82241328]
[0.2822707 0.7177293]
[0.11562656 0.88437344]
[0.70475041 0.29524959]
[0.3805728 0.6194272]
[0.34970027 0.65029973]
[0.28905743 0.71094257]
[0.18532987 0.81467013]
[0.43030493 0.56969507]
[0.25508272 0.74491728]
[0.83642037 0.16357963]
[0.0983466 0.9016534]
[0.13202587 0.86797413]
[0.0998696 0.9001304]
[0.60959535 0.39040465]
[0.05899563 0.94100437]
[0.1865239 0.8134761]
[0.2923024 0.7076976]
[0.01224183 0.98775817]
[0.25135815 0.74864185]
[0.23114985 0.76885015]
[0.2822707 0.7177293]
[0.23395868 0.76604132]
[0.01622304 0.98377696]
[0.42246534 0.57753466]
[0.16372736 0.83627264]
[0.17962341 0.82037659]
[0.14949799 0.85050201]
[0.00867612 0.99132388]
[0.88677553 0.11322447]
[0.19129346 0.80870654]
[0.0118025 0.9881975]
[0.23988718 0.76011282]
[0.73545545 0.26454455]
[0.30493283 0.69506717]
[0.10352291 0.89647709]
[0.29126157 0.70873843]
[0.36015415 0.63984585]
[0.08082352 0.91917648]
[0.06664255 0.93335745]
[0.0585855 0.9414145]
[0.42386385 0.57613615]
[0.28167871 0.71832129]
[0.17688146 0.82311854]
[0.26481023 0.73518977]
[0.01525385 0.98474615]
[0.14667293 0.85332707]
[0.41154609 0.58845391]
[0.01473599 0.98526401]
[0.04617109 0.95382891]
[0.29845593 0.70154407]
[0.23984914 0.76015086]
[0.06199036 0.93800964]
[0.01473599 0.98526401]
[0.20164778 0.79835222]
[0.52167629 0.47832371]
[0.01308236 0.98691764]
[0.34716575 0.65283425]
[0.24318958 0.75681042]
[0.19842456 0.80157544]
[0.30461597 0.69538403]
[0.53110487 0.46889513]
[0.05973222 0.94026778]
[0.56028849 0.43971151]
[0.08694311 0.91305689]
[0.4508086 0.5491914]
[0.82902022 0.17097978]
[0.21682206 0.78317794]
[0.24119362 0.75880638]
[0.28792534 0.71207466]
[0.49691258 0.50308742]
[0.37826026 0.62173974]
[0.30041944 0.69958056]
[0.34335429 0.65664571]
[0.25280809 0.74719191]
[0.0400953 0.9599047]
[0.41894769 0.58105231]
[0.09542507 0.90457493]
[0.03769356 0.96230644]
[0.23494859 0.76505141]
[0.6361597 0.3638403]
[0.7050743 0.2949257]
[0.38179088 0.61820912]
[0.35664963 0.64335037]
[0.27798485 0.72201515]
[0.52264666 0.47735334]
[0.11218633 0.88781367]
[0.41537266 0.58462734]
[0.01350396 0.98649604]
[0.240741 0.759259]
[0.04242776 0.95757224]
[0.03229974 0.96770026]
[0.2377893 0.7622107]
[0.23076475 0.76923525]
[0.01495261 0.98504739]
[0.2377893 0.7622107]
[0.16532206 0.83467794]
[0.99832118 0.00167882]
[0.09127864 0.90872136]
[0.09305693 0.90694307]
[0.09440167 0.90559833]
[0.84952595 0.15047405]
[0.07131505 0.92868495]
[0.13425343 0.86574657]
[0.71795341 0.28204659]
[0.34687501 0.65312499]
[0.06577977 0.93422023]
[0.19623068 0.80376932]
[0.21337081 0.78662919]
[0.8021399 0.1978601]
[0.06523688 0.93476312]
[0.01166329 0.98833671]
[0.27057446 0.72942554]
[0.240741 0.759259]
[0.29248741 0.70751259]
[0.28983575 0.71016425]
[0.60013881 0.39986119]
[0.22902302 0.77097698]
[0.30552222 0.69447778]
[0.27206659 0.72793341]
[0.42512234 0.57487766]
[0.00907458 0.99092542]
[0.34962246 0.65037754]
[0.00862881 0.99137119]
[0.03660878 0.96339122]
[0.16853477 0.83146523]
[0.10422134 0.89577866]
[0.15971577 0.84028423]
[0.55460072 0.44539928]
[0.37380588 0.62619412]
[0.98946858 0.01053142]
[0.24421062 0.75578938]
[0.25103626 0.74896374]
[0.1543019 0.8456981]
[0.14842611 0.85157389]
[0.28470941 0.71529059]
[0.36902931 0.63097069]
[0.24201607 0.75798393]
[0.16048977 0.83951023]
[0.25979669 0.74020331]
[0.17506921 0.82493079]
[0.2757544 0.7242456]
[0.13136331 0.86863669]
[0.09702258 0.90297742]
[0.10923156 0.89076844]
[0.03743088 0.96256912]
[0.2923024 0.7076976]
[0.29402501 0.70597499]
[0.0979342 0.9020658]
[0.33755379 0.66244621]
[0.43760402 0.56239598]
[0.06174775 0.93825225]
[0.71410745 0.28589255]
[0.21470407 0.78529593]
[0.01473599 0.98526401]
[0.14868342 0.85131658]
[0.16490211 0.83509789]
[0.09173053 0.90826947]
[0.40802248 0.59197752]
[0.10966853 0.89033147]
[0.43572949 0.56427051]
[0.63293051 0.36706949]
[0.16271899 0.83728101]
[0.44238767 0.55761233]
[0.36359313 0.63640687]
[0.19129346 0.80870654]
[0.2923024 0.7076976]
[0.2135162 0.7864838]
[0.29560124 0.70439876]
[0.28123088 0.71876912]
[0.17860667 0.82139333]
[0.26604378 0.73395622]
[0.08984325 0.91015675]
[0.54587069 0.45412931]
[0.23929928 0.76070072]
[0.04377641 0.95622359]
[0.14419695 0.85580305]
[0.01234275 0.98765725]
[0.1755032 0.8244968]
[0.08984325 0.91015675]
[0.12627948 0.87372052]
[0.19387441 0.80612559]
[0.41214265 0.58785735]
[0.2944165 0.7055835]
[0.34562782 0.65437218]
[0.51666282 0.48333718]
[0.13101673 0.86898327]
[0.12895708 0.87104292]
[0.1486537 0.8513463]
[0.78240233 0.21759767]
[0.22133024 0.77866976]
[0.09785638 0.90214362]
[0.07292831 0.92707169]
[0.3241327 0.6758673]
[0.22410617 0.77589383]
[0.2822707 0.7177293]
[0.01205297 0.98794703]
[0.33533673 0.66466327]
[0.05611881 0.94388119]
[0.66392379 0.33607621]
[0.24033448 0.75966552]
[0.20450893 0.79549107]
[0.04142476 0.95857524]
[0.15640517 0.84359483]
[0.01473599 0.98526401]
[0.08937134 0.91062866]
[0.09647797 0.90352203]
[0.28470941 0.71529059]
[0.01260455 0.98739545]
[0.01473599 0.98526401]
[0.25176133 0.74823867]
[0.0114467 0.9885533]
[0.4070568 0.5929432]
[0.29845593 0.70154407]
[0.11588376 0.88411624]
[0.02167851 0.97832149]
[0.57640899 0.42359101]
[0.2411756 0.7588244]
[0.00759632 0.99240368]
[0.09575575 0.90424425]
[0.0207464 0.9792536]
[0.0221099 0.9778901]
[0.2377893 0.7622107]
[0.39196307 0.60803693]
[0.33310067 0.66689933]
[0.37047053 0.62952947]
[0.30987602 0.69012398]
[0.2822707 0.7177293]
[0.09870887 0.90129113]
[0.34041623 0.65958377]
[0.01369924 0.98630076]
[0.05602138 0.94397862]
[0.26419987 0.73580013]
[0.49230571 0.50769429]
[0.03738854 0.96261146]
[0.77442327 0.22557673]
[0.87151716 0.12848284]
[0.15391282 0.84608718]
[0.31554209 0.68445791]
[0.1795955 0.8204045]
[0.2796555 0.7203445]
[0.29402501 0.70597499]
[0.23687761 0.76312239]
[0.09068 0.90932]
[0.23114985 0.76885015]
[0.18765238 0.81234762]
[0.01264541 0.98735459]
[0.18416907 0.81583093]
[0.23530563 0.76469437]
[0.20978268 0.79021732]
[0.07499017 0.92500983]
[0.46095535 0.53904465]
[0.23506177 0.76493823]
[0.16083807 0.83916193]
[0.00401989 0.99598011]
[0.12802617 0.87197383]
[0.07451769 0.92548231]
[0.13957048 0.86042952]
[0.27080149 0.72919851]
[0.0697304 0.9302696]
[0.06813713 0.93186287]
[0.06660493 0.93339507]
[0.09716914 0.90283086]
[0.01081866 0.98918134]
[0.26424619 0.73575381]
[0.00839468 0.99160532]
[0.26995566 0.73004434]
[0.21349264 0.78650736]
[0.16023021 0.83976979]
[0.22045285 0.77954715]
[0.07915167 0.92084833]
[0.40733955 0.59266045]
[0.16158411 0.83841589]
[0.17172639 0.82827361]
[0.01473599 0.98526401]
[0.36914712 0.63085288]
[0.18450257 0.81549743]
[0.0118025 0.9881975]
[0.18125773 0.81874227]
[0.2923024 0.7076976]
[0.10490192 0.89509808]
[0.26351807 0.73648193]
[0.37948738 0.62051262]
[0.03767137 0.96232863]
[0.01249639 0.98750361]
[0.57352552 0.42647448]
[0.3861794 0.6138206]
[0.29126157 0.70873843]
[0.28470941 0.71529059]
[0.0573959 0.9426041]
[0.06864011 0.93135989]
[0.14202111 0.85797889]
[0.08143661 0.91856339]
[0.01919212 0.98080788]
[0.16186894 0.83813106]
[0.34247502 0.65752498]
[0.38519192 0.61480808]
[0.05397354 0.94602646]
[0.22835976 0.77164024]
[0.27711103 0.72288897]
[0.12746494 0.87253506]
